"","DATE","PMID","YEAR","IF","JOURNAL","TITLE","AUTHORS","DOI","FULL_JOURNAL_NAME"
"1","2022 Aug","35896733","2022","20.042","Nat Cell Biol","Imaging cell biology","Andrews B, Chang JB, Collinson L, Li D, Lundberg E, Mahamid J, Manley S, Mhlanga M, Nakano A, Sch""oneberg J, Van Valen D, Wu T', Zaritsky A.","10.1038/s41556-022-00960-6","nature cell biology"
"2","2022 Aug","35590073","2022","36.558","Nat Biotechnol","Deep Visual Proteomics defines single-cell identity and heterogeneity","Mund A*, Coscia F*, Kriston A, Hollandi R, Kov'acs F, Brunner AD, Migh E, Schweizer L, Santos A, Bzorek M, Naimy S, Rahbek-Gjerdrum LM, Dyring-Andersen B, Bulkescher J, Lukas C, Eckert MA, Lengyel E, Gnann C, Lundberg E, Horvath P, Mann M.","10.1038/s41587-022-01302-5","nature biotechnology"
"3","2022 Jul","35534633","2022","30.822","Nat Methods","Understudied proteins: opportunities and challenges for functional proteomics","Kustatscher G, Collins T, Gingras AC, Guo T, Hermjakob H, Ideker T, Lilley KS, Lundberg E, Marcotte EM, Ralser M, Rappsilber J.","10.1038/s41592-022-01454-x","nature methods"
"4","2022 Jun","35534555","2022","36.558","Nat Biotechnol","An open invitation to the Understudied Proteins Initiative","Kustatscher G, Collins T, Gingras AC, Guo T, Hermjakob H, Ideker T, Lilley KS, Lundberg E, Marcotte EM, Ralser M, Rappsilber J.","10.1038/s41587-022-01316-z","nature biotechnology"
"5","2022 Jan 28","35084980","2022","41.845","Science","The Blood Proteoform Atlas: A reference map of proteoforms in human hematopoietic cells","Melani RD*, Gerbasi VR*, Anderson LC*, Sikora JW, Toby TK, Hutton JE, Butcher DS, Negr~ao F, Seckler HS, Srzenti'c K, Fornelli L, Camarillo JM, LeDuc RD, Cesnik AJ, Lundberg E, Greer JB, Fellers RT, Robey MT, DeHart CJ, Forte E, Hendrickson CL, Abbatiello SE, Thomas PM, Kokaji AI, Levitsky J, Kelleher NL.","10.1126/science.aaz5284","science"
"6","2022 Mar","34811556","2022","30.822","Nat Methods","Spatial mapping of protein composition and tissue organization: a primer for multiplexed antibody-based imaging","Hickey JW*, Neumann EK*, Radtke AJ*, Camarillo JM, Beuschel RT, Albanese A, McDonough E, Hatler J, Wiblin AE, Fisher J, Croteau J, Small EC, Sood A, Caprioli RM, Angelo RM, Nolan GP, Chung K, Hewitt SM, Germain RN, Spraggins JM, Lundberg E, Snyder MP, Kelleher NL, Saka SK.","10.1038/s41592-021-01316-y","nature methods"
"7","2022 Jul 21","35868280","2022","38.637","Cell","SnapShot: Spatial transcriptomics","Larsson L, Bergenstrahle L, He M, Andrusivova Z, Lundeberg J.","10.1016/j.cell.2022.06.002","cell"
"8","2022 Jul","35726057","2022","20.071","Nat Neurosci","Identification of early neurodegenerative pathways in progressive multiple sclerosis","Kaufmann M*, Schaupp AL*, Sun R, Coscia F, Dendrou CA, Cortes A, Kaur G, Evans HG, Mollbrink A, Navarro JF, Sonner JK, Mayer C, DeLuca GC, Lundeberg J, Matthews PM, Attfield KE, Friese MA, Mann M, Fugger L.","10.1038/s41593-022-01097-3","nature neuroscience"
"9","2022 Mar","35210624","2022","20.071","Nat Neurosci","Clonal relations in the mouse brain revealed by single-cell and spatial transcriptomics","Ratz M, von Berlin L, Larsson L, Martin M, Westholm JO, La Manno G, Lundeberg J, Fris'en J.","10.1038/s41593-022-01011-x","nature neuroscience"
"10","2022 Apr","34845373","2022","36.558","Nat Biotechnol","Super-resolved spatial transcriptomics by deep data fusion","Bergenstrahle L, He B, Bergenstrahle J, Abalo X, Mirzazadeh R, Thrane K, Ji AL, Andersson A, Larsson L, Stakenborg N, Boeckxstaens G, Khavari P, Zou J, Lundeberg J, Maaskola J.","10.1038/s41587-021-01075-3","nature biotechnology"
"11","2021 Mar","33654293","2021","36.130","Nat Med","Single-cell meta-analysis of SARS-CoV-2 entry genes across tissues and demographics","Muus C*, Luecken MD*, Eraslan G*, Sikkema L*, Waghray A*, Heimberg G*, Kobayashi Y*, Vaishnav ED*, Subramanian A*, Smillie C*, Jagadeesh KA*, Duong ET*, Fiskin E*, Torlai Triglia E*, Ansari M*, Cai P*, Lin B*, Buchanan J*, Chen S*, Shu J*, Haber AL*, Chung H*, Montoro DT*, Adams T, Aliee H, Allon SJ, Andrusivova Z, Angelidis I, Ashenberg O, Bassler K, B'ecavin C, Benhar I, Bergenstrahle J, Bergenstrahle L, Bolt L, Braun E, Bui LT, Callori S, Chaffin M, Chichelnitskiy E, Chiou J, Conlon TM, Cuoco MS, Cuomo ASE, Deprez M, Duclos G, Fine D, Fischer DS, Ghazanfar S, Gillich A, Giotti B, Gould J, Guo M, Gutierrez AJ, Habermann AC, Harvey T, He P, Hou X, Hu L, Hu Y, Jaiswal A, Ji L, Jiang P, Kapellos TS, Kuo CS, Larsson L, Leney-Greene MA, Lim K, Litvinukov'a M, Ludwig LS, Lukassen S, Luo W, Maatz H, Madissoon E, Mamanova L, Manakongtreecheep K, Leroy S, Mayr CH, Mbano IM, McAdams AM, Nabhan AN, Nyquist SK, Penland L, Poirion OB, Poli S, Qi C, Queen R, Reichart D, Rosas I, Schupp JC, Shea CV, Shi X, Sinha R, Sit RV, Slowikowski K, Slyper M, Smith NP, Sountoulidis A, Strunz M, Sullivan TB, Sun D, Talavera-L'opez C, Tan P, Tantivit J, Travaglini KJ, Tucker NR, Vernon KA, Wadsworth MH, Waldman J, Wang X, Xu K, Yan W, Zhao W, Ziegler CGK; NHLBI LungMap Consortium; Human Cell Atlas Lung Biological Network.","10.1038/s41591-020-01227-z","nature medicine"
"12","2021 Dec","34819669","2021","42.778","Nature","A multi-scale map of cell structure fusing protein images and interactions","Qin Y, Huttlin EL, Winsnes CF, Gosztyla ML, Wacheul L, Kelly MR, Blue SM, Zheng F, Chen M, Schaffer LV, Licon K, B""ackstr""om A, Vaites LP, Lee JJ, Ouyang W, Liu SN, Zhang T, Silva E, Park J, Pitea A, Kreisberg JF, Gygi SP, Ma J, Harper JW, Yeo GW, Lafontaine DLJ, Lundberg E, Ideker T.","10.1038/s41586-021-04115-9","nature"
"13","2021 Oct","34594030","2021","30.822","Nat Methods","DeepImageJ: A user-friendly environment to run deep learning models in ImageJ","G'omez-de-Mariscal E*, Garc'ia-L'opez-de-Haro C*, Ouyang W, Donati L, Lundberg E, Unser M, Mu~noz-Barrutia A, Sage D.","10.1038/s41592-021-01262-9","nature methods"
"14","2021 Sep","34497388","2021","42.778","Nature","A roadmap for the Human Developmental Cell Atlas","Haniffa M*, Taylor D*, Linnarsson S*, Aronow BJ, Bader GD, Barker RA, Camara PG, Camp JG, Ch'edotal A, Copp A, Etchevers HC, Giacobini P, G""ottgens B, Guo G, Hupalowska A, James KR, Kirby E, Kriegstein A, Lundeberg J, Marioni JC, Meyer KB, Niakan KK, Nilsson M, Olabi B, Pe'er D, Regev A, Rood J, Rozenblatt-Rosen O, Satija R, Teichmann SA, Treutlein B, Vento-Tormo R, Webb S; Human Cell Atlas Developmental Biological Network.","10.1038/s41586-021-03620-1","nature"
"15","2021 Apr","33731935","2021","42.778","Nature","Publisher Correction: LifeTime and improving European healthcare through cell-based interceptive medicine","Rajewsky N*, Almouzni G*, Gorski SA*, Aerts S, Amit I, Bertero MG, Bock C, Bredenoord AL, Cavalli G, Chiocca S, Clevers H, De Strooper B, Eggert A, Ellenberg J, Fern'andez XM, Figlerowicz M, Gasser SM, Hubner N, Kjems J, Knoblich JA, Krabbe G, Lichter P, Linnarsson S, Marine JC, Marioni JC, Marti-Renom MA, Netea MG, Nickel D, Nollmann M, Novak HR, Parkinson H, Piccolo S, Pinheiro I, Pombo A, Popp C, Reik W, Roman-Roman S, Rosenstiel P, Schultze JL, Stegle O, Tanay A, Testa G, Thanos D, Theis FJ, Torres-Padilla ME, Valencia A, Vallot C, van Oudenaarden A, Vidal M, Voet T; LifeTime Community Working Groups.","10.1038/s41586-021-03287-8","nature"
"16","2021 Mar","33674797","2021","30.822","Nat Methods","Pycro-Manager: open-source software for customized and reproducible microscope control","Pinkard H, Stuurman N, Ivanov IE, Anthony NM, Ouyang W, Li B, Yang B, Tsuchida MA, Chhun B, Zhang G, Mei R, Anderson M, Shepherd DP, Hunt-Isaak I, Dunn RL, Jahr W, Kato S, Royer LA, Thiagarajah JR, Eliceiri KW, Lundberg E, Mehta SB, Waller L.","10.1038/s41592-021-01087-6","nature methods"
