"DATE","PMID","YEAR","IF","JOURNAL","ARTICLE","AUTHORS"
<<<<<<< HEAD
"2022-08-11","35948708","2022","42.778","Nature","Spatially resolved clonal copy number alterations in benign and malignant tissue.","Erickson A, He M, Berglund E, Marklund M, Mirzazadeh R, Schultz N, Kvastad L, Andersson A, Bergenstråhle L, Bergenstråhle J, Larsson L, Alonso Galicia L, Shamikh A, Basmaci E, Díaz De Ståhl T, Rajakumar T, Doultsinos D, Thrane K, Ji AL, Khavari PA, Tarish F, Tanoglidi A, Maaskola J, Colling R, Mirtti T, Hamdy FC, Woodcock DJ, Helleday T, Mills IG, Lamb AD, Lundeberg J"
"2022-07-23","35868280","2022","38.637","Cell","SnapShot: Spatial transcriptomics.","Larsson L, Bergenstråhle L, He M, Andrusivova Z, Lundeberg J"
"2022-05-20","35590073","2022","36.558","Nature biotechnology","Deep Visual Proteomics defines single-cell identity and heterogeneity.","Mund A, Coscia F, Kriston A, Hollandi R, Kovács F, Brunner AD, Migh E, Schweizer L, Santos A, Bzorek M, Naimy S, Rahbek-Gjerdrum LM, Dyring-Andersen B, Bulkescher J, Lukas C, Eckert MA, Lengyel E, Gnann C, Lundberg E, Horvath P, Mann M"
"2022-05-10","35534633","2022","30.822","Nature methods","Understudied proteins: opportunities and challenges for functional proteomics.","Kustatscher G, Collins T, Gingras AC, Guo T, Hermjakob H, Ideker T, Lilley KS, Lundberg E, Marcotte EM, Ralser M, Rappsilber J"
"2022-05-10","35534555","2022","36.558","Nature biotechnology","An open invitation to the Understudied Proteins Initiative.","Kustatscher G, Collins T, Gingras AC, Guo T, Hermjakob H, Ideker T, Lilley KS, Lundberg E, Marcotte EM, Ralser M, Rappsilber J"
"2022-01-28","35084980","2022","41.845","Science","The Blood Proteoform Atlas: A reference map of proteoforms in human hematopoietic cells.","Melani RD, Gerbasi VR, Anderson LC, Sikora JW, Toby TK, Hutton JE, Butcher DS, Negrão F, Seckler HS, Srzentić K, Fornelli L, Camarillo JM, LeDuc RD, Cesnik AJ, Lundberg E, Greer JB, Fellers RT, Robey MT, DeHart CJ, Forte E, Hendrickson CL, Abbatiello SE, Thomas PM, Kokaji AI, Levitsky J, Kelleher NL"
"2022-01-29","35086829","2022","12.339","The European respiratory journal","The discovAIR project: a roadmap towards the Human Lung Cell Atlas.","Luecken MD, Zaragosi LE, Madissoon E, Sikkema L, Firsova AB, De Domenico E, Kümmerle L, Saglam A, Berg M, Gay ACA, Schniering J, Mayr CH, Abalo XM, Larsson L, Sountoulidis A, Teichmann SA, van Eunen K, Koppelman GH, Saeb-Parsy K, Leroy S, Powell P, Sarkans U, Timens W, Lundeberg J, van den Berge M, Nilsson M, Horváth P, Denning J, Papatheodorou I, Schultze JL, Schiller HB, Barbry P, Petoukhov I, Misharin AV, Adcock IM, von Papen M, Theis FJ, Samakovlis C, Meyer KB, Nawijn MC"
"2022-05-07","35523173","2022","10.092","Developmental cell","Developmental landscape of human forebrain at a single-cell level identifies early waves of oligodendrogenesis.","van Bruggen D, Pohl F, Langseth CM, Kukanja P, Lee H, Albiach AM, Kabbe M, Meijer M, Linnarsson S, Hilscher MM, Nilsson M, Sundström E, Castelo-Branco G"
"2021-12-01","34845373","2021","36.558","Nature biotechnology","Super-resolved spatial transcriptomics by deep data fusion.","Bergenstråhle L, He B, Bergenstråhle J, Abalo X, Mirzazadeh R, Thrane K, Ji AL, Andersson A, Larsson L, Stakenborg N, Boeckxstaens G, Khavari P, Zou J, Lundeberg J, Maaskola J"
"2021-09-10","34497388","2021","42.778","Nature","A roadmap for the Human Developmental Cell Atlas.","Haniffa M, Taylor D, Linnarsson S, Aronow BJ, Bader GD, Barker RA, Camara PG, Camp JG, Chédotal A, Copp A, Etchevers HC, Giacobini P, Göttgens B, Guo G, Hupalowska A, James KR, Kirby E, Kriegstein A, Lundeberg J, Marioni JC, Meyer KB, Niakan KK, Nilsson M, Olabi B, Pe'er D, Regev A, Rood J, Rozenblatt-Rosen O, Satija R, Teichmann SA, Treutlein B, Vento-Tormo R, Webb S, Human Cell Atlas Developmental Biological Network "
"2021-09-09","34493872","2021","27.603","Nature genetics","A single-cell and spatially resolved atlas of human breast cancers.","Wu SZ, Al-Eryani G, Roden DL, Junankar S, Harvey K, Andersson A, Thennavan A, Wang C, Torpy JR, Bartonicek N, Wang T, Larsson L, Kaczorowski D, Weisenfeld NI, Uytingco CR, Chew JG, Bent ZW, Chan CL, Gnanasambandapillai V, Dutertre CA, Gluch L, Hui MN, Beith J, Parker A, Robbins E, Segara D, Cooper C, Mak C, Chan B, Warrier S, Ginhoux F, Millar E, Powell JE, Williams SR, Liu XS, O'Toole S, Lim E, Lundeberg J, Perou CM, Swarbrick A"
"2021-03-04","33654293","2021","36.13","Nature medicine","Single-cell meta-analysis of SARS-CoV-2 entry genes across tissues and demographics.","Muus C, Luecken MD, Eraslan G, Sikkema L, Waghray A, Heimberg G, Kobayashi Y, Vaishnav ED, Subramanian A, Smillie C, Jagadeesh KA, Duong ET, Fiskin E, Torlai Triglia E, Ansari M, Cai P, Lin B, Buchanan J, Chen S, Shu J, Haber AL, Chung H, Montoro DT, Adams T, Aliee H, Allon SJ, Andrusivova Z, Angelidis I, Ashenberg O, Bassler K, Bécavin C, Benhar I, Bergenstråhle J, Bergenstråhle L, Bolt L, Braun E, Bui LT, Callori S, Chaffin M, Chichelnitskiy E, Chiou J, Conlon TM, Cuoco MS, Cuomo ASE, Deprez M, Duclos G, Fine D, Fischer DS, Ghazanfar S, Gillich A, Giotti B, Gould J, Guo M, Gutierrez AJ, Habermann AC, Harvey T, He P, Hou X, Hu L, Hu Y, Jaiswal A, Ji L, Jiang P, Kapellos TS, Kuo CS, Larsson L, Leney-Greene MA, Lim K, Litviňuková M, Ludwig LS, Lukassen S, Luo W, Maatz H, Madissoon E, Mamanova L, Manakongtreecheep K, Leroy S, Mayr CH, Mbano IM, McAdams AM, Nabhan AN, Nyquist SK, Penland L, Poirion OB, Poli S, Qi C, Queen R, Reichart D, Rosas I, Schupp JC, Shea CV, Shi X, Sinha R, Sit RV, Slowikowski K, Slyper M, Smith NP, Sountoulidis A, Strunz M, Sullivan TB, Sun D, Talavera-López C, Tan P, Tantivit J, Travaglini KJ, Tucker NR, Vernon KA, Wadsworth MH, Waldman J, Wang X, Xu K, Yan W, Zhao W, Ziegler CGK, NHLBI LungMap Consortium , Human Cell Atlas Lung Biological Network "
"2021-01-08","33408402","2021","30.822","Nature methods","Spatially resolved transcriptomics adds a new dimension to genomics.","Larsson L, Frisén J, Lundeberg J"
"2021-11-26","34819669","2021","42.778","Nature","A multi-scale map of cell structure fusing protein images and interactions.","Qin Y, Huttlin EL, Winsnes CF, Gosztyla ML, Wacheul L, Kelly MR, Blue SM, Zheng F, Chen M, Schaffer LV, Licon K, Bäckström A, Vaites LP, Lee JJ, Ouyang W, Liu SN, Zhang T, Silva E, Park J, Pitea A, Kreisberg JF, Gygi SP, Ma J, Harper JW, Yeo GW, Lafontaine DLJ, Lundberg E, Ideker T"
"2021-11-24","34811556","2021","30.822","Nature methods","Spatial mapping of protein composition and tissue organization: a primer for multiplexed antibody-based imaging.","Hickey JW, Neumann EK, Radtke AJ, Camarillo JM, Beuschel RT, Albanese A, McDonough E, Hatler J, Wiblin AE, Fisher J, Croteau J, Small EC, Sood A, Caprioli RM, Angelo RM, Nolan GP, Chung K, Hewitt SM, Germain RN, Spraggins JM, Lundberg E, Snyder MP, Kelleher NL, Saka SK"
"2021-10-02","34594030","2021","30.822","Nature methods","DeepImageJ: A user-friendly environment to run deep learning models in ImageJ.","Gómez-de-Mariscal E, García-López-de-Haro C, Ouyang W, Donati L, Lundberg E, Unser M, Muñoz-Barrutia A, Sage D"
"2021-03-07","33674797","2021","30.822","Nature methods","Pycro-Manager: open-source software for customized and reproducible microscope control.","Pinkard H, Stuurman N, Ivanov IE, Anthony NM, Ouyang W, Li B, Yang B, Tsuchida MA, Chhun B, Zhang G, Mei R, Anderson M, Shepherd DP, Hunt-Isaak I, Dunn RL, Jahr W, Kato S, Royer LA, Thiagarajah JR, Eliceiri KW, Lundberg E, Mehta SB, Waller L"
"2021-02-26","33627808","2021","42.778","Nature","Spatiotemporal dissection of the cell cycle with single-cell proteogenomics.","Mahdessian D, Cesnik AJ, Gnann C, Danielsson F, Stenström L, Arif M, Zhang C, Le T, Johansson F, Schutten R, Bäckström A, Axelsson U, Thul P, Cho NH, Carja O, Uhlén M, Mardinoglu A, Stadler C, Lindskog C, Ayoglu B, Leonetti MD, Pontén F, Sullivan DP, Lundberg E"
"2021-01-28","33500565","2021","36.558","Nature biotechnology","Building a high-quality Human Cell Atlas.","Rozenblatt-Rosen O, Shin JW, Rood JE, Hupalowska A, Human Cell Atlas Standards and Technology Working Group , Regev A, Heyn H"
"2021-10-13","34637281","2021","20.832","Accounts of chemical research","Rolling Circle Amplification in Integrated Microsystems: An Uncut Gem toward Massively Multiplexed Pathogen Diagnostics and Genotyping.","Soares RRG, Madaboosi N, Nilsson M"
"2021-07-30","34321664","2021","42.778","Nature","Molecular architecture of the developing mouse brain.","La Manno G, Siletti K, Furlan A, Gyllborg D, Vinsland E, Mossi Albiach A, Mattsson Langseth C, Khven I, Lederer AR, Dratva LM, Johnsson A, Nilsson M, Lönnerberg P, Linnarsson S"
